Nº	Códice	Fecha Inicio Códice	Fecha Fin Códice	Lugar	Copista/Impresor	Biblioteca	Obra	Fecha Inicio Obra	Fecha Fin Obra	Título	Autor	Traductor	Folio	Contexto previo	Término Buscado <Lema> [Etiqueta]	Contexto posterior
11	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		109r-a(28)	fallaron mucho oro & plata y en tanto que esto fizo el cid don aluar	hañez <Fáñez> [NP000P0]	 corrio todos los lugares ya dichos & vinose para el cid con muy gran presa
12	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		109r-a(32)	partir muy bien con todos los que con el yuan y dio a don aluar	hañez <Fáñez> [NP000P0]	 el quinto que le pertenescia el qual nolo quiso rescebir diziendo que asaz le bastaua
13	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		109v-a(18)	los vido alongados del lugar boluio sobre ellos & mato munchos dellos & don aluar	hañez <Fáñez> [NP000P0]	 que quedaua con vna celada cerca dela villa antes quelos moros boluiesen se lanço enella
14	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		110r-a(5)	el señorio que deuia al Rey don alfonso su señor & llamo a don aluar	hañez <Fáñez> [NP000P0]	 & dixo primo bien sabes como el Rey don alfonso me mando salir de sus
15	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		110r-a(15)	honor de nuestra señora por el bien que nos ha fecho & asi don aluar	hañez <Fáñez> [NP000P0]	 se partio para el Rey y fallolo en leon y diole el presente que el
16	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		110r-a(29)	su muger & fijas & heredamientos por que les non fagan desguisado entonce don aluar	hañez <Fáñez> [NP000P0]	 le beso la mano y le suplico quele mandase entregar todo lo del cid y
17	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		110v-a(10)	el Rey le fizo grandes fiestas & honrras & a este tienpo llego don aluar	hañez <Fáñez> [NP000P0]	 con la respuesta del Rey don alfonso de que el cid fue muncho alegre eneste
18	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		112r-a(17)	batalla murio diego rodriguez fijo del cid Ruy diaz eneste año ouo batalla don aluar	hañez <Fáñez> [NP000P0]	 minaya conel mesmo Rey moro & tenia don aluar hañez dos mill & quinientos caualleros
19	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		112r-a(18)	año ouo batalla don aluar hañez minaya conel mesmo Rey moro & tenia don aluar	hañez <Fáñez> [NP000P0]	 dos mill & quinientos caualleros y el Rey moro quinze mill & ouo la vitoria
20	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		112r-a(19)	& quinientos caualleros y el Rey moro quinze mill & ouo la vitoria don aluar	hañez <Fáñez·PUNCT> [NP000P0·PUNCT]	 y fueron munchos moros muertos y presos y fue el Rey ferido de vna gran
21	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		113v-a(16)	supo esta nueua descerco a çaragoça & enbio por el cid & por don aluar	hañez <Fáñez> [NP000P0]	 & vinieron en su ayuda munchos franceses y el Rey se iunto con los moros
22	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		114r-a(18)	batalla que auian vencido al Rey don alfonso & otra que vencieran a don aluar	hañez <Fáñez> [NP000P0]	 nole respondieron ninguna cosa y el Rey curaua sienpre de tener sus gentes muy apercebidas
23	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		116v-a(8)	acordo de enbiar por su muger & sus fijas & rogo a su primo aluar	hañez <Fáñez> [NP000P0]	 & a martin antolinez que fuesen por ellas & lleuasen al rey dozientos cauallos en
24	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		116v-a(21)	dar para su despensa muy conplida mente quanto ouieron menester Capitulo lxxv de como aluar	hañez <Fáñez> [NP000P0]	 & martin antolinez partieron conel presente al rey don alonso. Otro dia de gran
25	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		116v-a(23)	antolinez partieron conel presente al rey don alonso. Otro dia de gran mañana aluar	hañez <Fáñez> [NP000P0]	 & martin antolinez se partieron con todo lo dicho & andudieron por sus iornadas fasta
26	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		117v-a(5)	dar la batalla enesta guisa que mando que esa noche secreta mente saliese don aluar	hañez <Fáñez> [NP000P0]	 con seycientos caualleros & se fuese poner en celada ala parte del albuhera y el
27	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		117v-a(7)	con toda la gente & dar enel real delos moros & mando a don aluar	hañez <Fáñez> [NP000P0]	 que estouiese quedo en su celada fasta que viese que la batalla era bien buelta
28	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		117v-a(10)	& la batalla fue muy peleada & munchos delos moros muertos & como don aluar	hañez <Fáñez> [NP000P0]	 de subito entro enla batalla pensaron que la gente era muncha & començaron a fuyr
29	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		117v-a(29)	mente las riquezas que en aquella batalla auia ganado & mando llamar a don aluar	hañez <Fáñez> [NP000P0]	 & a pero bermudez & rogoles que quisyesen luego partir para castilla por lleuar al
30	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		117v-a(36)	el rey & todo lo que menester ouieron para su viaie & asi don aluar	hañez <Fáñez> [NP000P0]	 & pero bermudez se partieron para el rey al qual fallaron en valladolid & como
31	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		118r-a(9)	rienda y enpos dellos venian los paies de todos los caualleros & despues don aluar	hañez <Fáñez> [NP000P0]	 & pero bermudez detras dellos & todas sus conpañas & quando llegaron don aluar hañez
32	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		118r-a(11)	hañez & pero bermudez detras dellos & todas sus conpañas & quando llegaron don aluar	hañez <Fáñez> [NP000P0]	 & pero bermudez se apearon & besaron las manos al rey don aluar hañez le
33	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		118r-a(12)	aluar hañez & pero bermudez se apearon & besaron las manos al rey don aluar	hañez <Fáñez> [NP000P0]	 le dixo señor el cid vuestro vasallo vos besa las manos & vos tiene en
34	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		119r-a(26)	quiera nuestro señor que dello ayays plazer y el Rey mando luego a don aluar	hañez <Fáñez> [NP000P0]	 que era tio delas donzellas que las tuuiese fasta que las diese alos infantes de
35	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		119v-a(19)	que conellos vinieron tenian sus asentamientos muncho honrrados entonce el cid llamo a don aluar	hañez <Fáñez> [NP000P0]	 & le dixo bien sabes vos lo que el Rey don alonso mi señor vos
36	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		119v-a(22)	infantes de carrion por mugeres que el las casa que yo no & don aluar	hañez <Fáñez> [NP000P0]	 fue por las donzellas y entregolas alos infantes como el Rey gelo mando y ellos
37	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		121v-a(7)	salidos delas huertas el cid ordeno sus hazes & dio la delantera a don aluar	hañez <Fáñez> [NP000P0]	 & la vandera a pero bermudez & dio le quinientos caualleros & mill & quinientos
38	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		123v-a(1)	& alos veinte & nueue reyes que conel venian y enbio conel a don aluar	hañez <Fáñez> [NP000P0]	 & a pero bermudez los quales lleuaron al rey dozientos cauallos ensillados y enfrenados y
39	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		123v-a(16)	mas honrrado cauallero & mas leal vasallo que iamas en españa naciera & luego aluar	hañez <Fáñez> [NP000P0]	 le conto la maldad que los infantes de carrion auian cometido contra las fijas del
40	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		123v-a(20)	este caso mas era suyo que del cid el Rey le respondio por cierto aluar	hañez <Fáñez> [NP000P0]	 no vos puedo dezir quanto me pesa deste caso tan feo el qual como vos
41	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		123v-a(27)	este tienpo venga el ay & trayga consigo quantos por bien touiere & don aluar	hañez <Fáñez> [NP000P0]	 & pero bermudez gelo touieron en merced & le besaron la mano & se despidieron
42	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		123v-a(32)	todo lo que menester ouiesen fasta ser en valencia & con todas estas cosas aluar	hañez <Fáñez> [NP000P0]	 & pero bermudez continuaron su camino fasta el aldea donde ordoño les dixo que las
43	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		123v-a(33)	su camino fasta el aldea donde ordoño les dixo que las dueñas estauan & aluar	hañez <Fáñez> [NP000P0]	 & pero bermudez entraron de noche & fueronse ala casa ellos dos solos donde fallaron
44	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		124r-a(28)	la verdad & luego pero bermudez se partio para molina & llagado ende don aluar	hañez <Fáñez> [NP000P0]	 y el se vinieron con las fijas del cid a valencia & quando el cid
45	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		125r-a(26)	pasaron supo el cid ante que alas cortes viniese & fizo luego llamar a aluar	hañez <Fáñez> [NP000P0]	 & a pero bermudez & caualgaron todas las gentes del cid & vinieron conel al
46	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		126r-a(16)	estauan asentados & tomoles las espadas & diolas al cid entonce se leuanto don aluar	hañez <Fáñez> [NP000P0]	 & dixo al cid tened por bien de me dar a colada con que vos
47	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		126r-a(30)	para los infantes de carrion & por vuestro mandado yo las di a don aluar	hañez <Fáñez> [NP000P0]	 para que gelas diese por mugeres como la santa yglesia manda & vos señor las
48	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		133r-a(7)	& mando que querays fazer todo lo que el obispo don geronimo & don aluar	hañez <Fáñez> [NP000P0]	 & pero bermudez vos diran que ellos vos regiran & vos gouernaran como ami honrra
49	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		133r-a(19)	vn dia ante que muriese mando llamar al obispo don geronimo & a don aluar	hañez <Fáñez> [NP000P0]	 & a pero bermudez & a gil diaz su almoxarife & dixoles bien sabeys como
50	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		133v-a(5)	me el cauallo & vos pero bermudez lleuad mi seña como soleys & vos aluar	hañez <Fáñez> [NP000P0]	 acabdillad las gentes & poned vuestras hazes & yd lidiar conel Rey bucar ca cierto
51	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		133v-a(13)	dexo por testamentarios a doña ximena & al obispo don geronimo & a don aluar	hañez <Fáñez> [NP000P0]	 & a pero bermudez & recibio el cuerpo de nuestro señor con gran deuocion &
52	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		134v-a(3)	salieron tan paso que era cosa marauillosa Despues que el dia fue claro don aluar	hañez <Fáñez> [NP000P0]	 ordeno sus hazes muy bien como aquel quelo auia costunbrado & con tan gran ardideza
53	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		134v-a(25)	fueron a sus tierras muy mal andantes & desque los moros fueron ydos don aluar	hañez <Fáñez> [NP000P0]	 & las conpañas del cid boluieron al canpo donde no se podria creer el oro
54	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		136r-a(25)	se fueron conel rey de nauarra & otros conel infante de aragon & don aluar	hañez <Fáñez> [NP000P0]	 & pero bermudez y el obispo don geronimo & gil diaz & las otras conpañas
55	VIB	1483-02-07	1483-02-07	Zamora	Antonio de Centenera	Boston: Boston Public Library  [D.160a.83]	HSMS-0158-0001	1463	1463	Diálogo de vita beata	Juan de Lucena, protonotario		20v-a(34)	al deleyte saben mas y dizen mas conjuntan dos cosas de natura enemigas como el	huego <fuego> [NCMS000]	 de la agua repugna su compañia ansy la virtud refuye la del deleyte la virtud
56	VIB	1483-02-07	1483-02-07	Zamora	Antonio de Centenera	Boston: Boston Public Library  [D.160a.83]	HSMS-0158-0001	1463	1463	Diálogo de vita beata	Juan de Lucena, protonotario		22r-b(19)	neçessario Lo terreno la tierra el agua lo humido lo areo el ayre y el	huego <fuego> [NCMS000]	 demanda su huego Como nuestro grauissimo cuerpo de tierra con hecho con humido resta en
57	VIB	1483-02-07	1483-02-07	Zamora	Antonio de Centenera	Boston: Boston Public Library  [D.160a.83]	HSMS-0158-0001	1463	1463	Diálogo de vita beata	Juan de Lucena, protonotario		22r-b(20)	la tierra el agua lo humido lo areo el ayre y el huego demanda su	huego <fuego·PUNCT> [NCMS000·PUNCT]	 Como nuestro grauissimo cuerpo de tierra con hecho con humido resta en su mesmo lugar
58	VIB	1483-02-07	1483-02-07	Zamora	Antonio de Centenera	Boston: Boston Public Library  [D.160a.83]	HSMS-0158-0001	1463	1463	Diálogo de vita beata	Juan de Lucena, protonotario		23r-b(15)	Esta obra se acabo en la çibdad de çamora viernes siete dias del mes de	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 Año del señor de mill cccc lxxx iij años Centenera. XXXXXX HSMS-0453 XXXXXX HSMS-0453-0001 Visión deleitable
59	C87	1487-06-20	1487-06-20	Burgos	Fadrique de Basilea	Madrid: Biblioteca Nacional de España  [INC/1910]	HSMS-0465-0001	1445-05-19 ad quem	1445-05-19 ad quem	Doctrinal de los caballeros	Alonso de Cartagena, obispo de Burgos		44r-a(30)	las cuerdas que son para tirar el nauio son asi como el cabestro & las	hazqueas <falquía> [NCFP000]	 con que atan el cauallo E sin todo aquesto asi como non le pueden fazer
60	ORA	1487-03-26	1487-03-26	Murcia	Gabriel Luis Ariño y Lope de la Roca	Madrid: Biblioteca Nacional de España  [INC/249(3)]	HSMS-0441-0001	1454-07-21 a quo	1456-07-23 ad quem	Oracional de Fernán Pérez	Alonso de Cartagena, obispo de Burgos		19v-a(1)	que vulgar mente llamamos largueza o franqueza E desta claman alas vezes los ciii .	harautes <faraute> [NCMP000]	 deziendo largeza largeza E por que estas dos virtudes afabilidad & liberalidad consisten en comunicacion
61	CVD	1488 ca.	1488 ca.	Salamanca	Alonso de Porras	Madrid: Biblioteca Nacional de España  [INC/1272]	HSMS-0498-0001	1488	1488	La crianza y virtuosa doctrina	Pedro de Gracia Dei		8v-a(23)	enla mesa el codo pornas y de señal seruir saberas mira la uela humo y	huego <fuego> [NCMS000]	 paias y vino con que te ruego el anteparo no oluidaras Deueys hablar paso y
62	CVD	1488 ca.	1488 ca.	Salamanca	Alonso de Porras	Madrid: Biblioteca Nacional de España  [INC/1272]	HSMS-0498-0001	1488	1488	La crianza y virtuosa doctrina	Pedro de Gracia Dei		14v-a(3)	o hemanuel b iii Por mayordomo delos exentos vi tender pico por aquella mesa las	hazaleias <fazaleja> [NCFP000]	 primero las besa desque seguras delos tormentos ansi notemos los libramentos que demos cuenta y
63	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		7v-a(10)	de muchas aguas El dozeno signo es llamado piscis & es atribujdo al mes de	hebrero <febrero> [NCMS000]	 ca asi como el pez es animal vmjdo que sienpre sosiega so las aguas bien
64	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		16r-a(8)	qual medea de Rauia pestilente ençendida quemo la c casa de creon et acreusa con	huego <fuego> [NCMS000]	 en las Rugas dela camisa escondido et mato con Rauia los hijos de jason avidos
65	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		31v-a(6)	nocturna diesa Los sus braços sin manijas y sus dedos sin sortijas Como hada sobre	huesa <fosa> [NCFS000]	 Nunca vi muerte tan muerta Ni gente tanto despierta De tortores ni tan fuerte Ni
66	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		44r-a(26)	por que los siete pecados mortales trahen flama o fuego de mal et de aquel	huego <fuego> [NCMS000]	 son engendrados asi como la libidine del huego dela luxuria & la soberuia del encendimiento
67	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		44r-a(27)	o fuego de mal et de aquel huego son engendrados asi como la libidine del	huego <fuego> [NCMS000]	 dela luxuria & la soberuia del encendimiento de la luxuria et la soberuia del encendimiento
68	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		44v-a(4)	& por esta manera todos los otros & por ende dixo la copla que de	huego <fuego> [NCMS000]	 inflamadas Mostrauan grande quadrilla Dize la copla que aquellos siete peligros que son siete pecados
69	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		45r-a(16)	de la fria mañana & dise se pruina de pyl que dize el griego por	huego <fuego> [NCMS000]	 ca asi como el huego quema que el quemar tan bien pertenesçe el grand frio
70	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		45r-a(17)	dise se pruina de pyl que dize el griego por huego ca asi como el	huego <fuego> [NCMS000]	 quema que el quemar tan bien pertenesçe el grand frio como al grand sol et
71	COR	1489	1489	Toulouse	Johann París y Etienne Clebat	Nueva York: Hispanic Society of America  []	HSMS-0204-0001	1438	1438	Coronación	Juan de Mena		61r-a(14)	cosas son que sostienen principal mente la humana vida conviene saber el agua y el	huego <fuego> [NCMS000]	 segund isidoro en el tercio libro delas ethimologias enel titulo de aquis El agua de
