Nº	Códice	Fecha Inicio Códice	Fecha Fin Códice	Lugar	Copista/Impresor	Biblioteca	Obra	Fecha Inicio Obra	Fecha Fin Obra	Título	Autor	Traductor	Folio	Contexto previo	Término Buscado <Lema> [Etiqueta]	Contexto posterior
11	TRI	1501-02-12	1501-02-12	Valladolid	Juan de Burgos	Londres: The British Library  [C.20.d.24]	HSMS-0040-0001	1400 ca. ad quem	1400 ca. ad quem	Libro del esforzado caballero don Tristán de Leonís y de sus grandes hechos en armas	desconocido		33v-b(19)	en pie con gran ardimento & pusieron mano alas espadas & dieronse grandes golpes que	huego <fuego> [NCMS000]	 salia delas espadas muy alto & palomades cuydaua que hera tristan por los grandes golpes
12	TRI	1501-02-12	1501-02-12	Valladolid	Juan de Burgos	Londres: The British Library  [C.20.d.24]	HSMS-0040-0001	1400 ca. ad quem	1400 ca. ad quem	Libro del esforzado caballero don Tristán de Leonís y de sus grandes hechos en armas	desconocido		50v-b(9)	& dixo tristan vuestra sea & entanto allego la bestia & fue se para la	huente <fuente·PUNCT> [NCFS000·PUNCT]	 & tristan quando la vio vuo grand miedo & la bestia no estuuo por ellos
13	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	145r-a(7)	el campo yuan de noche alos que soterrauan los dela villa & sacauan los delas	huessas <fosa> [NCFP000]	 & comian los assi que vn dia de mañana venieron vna gran pieça delos hombres
14	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	149r-b(7)	manos sobre vna varas muy fuertes & mando los degollar & despues hizo hazer gran	huego <fuego> [NCMS000]	 & traer los a derredor sobre el & assar los E quando esto vieron aquellos
15	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	154r-b(45)	le parecia que no hauia tantas ouejas enel mundo Despues desto veya vn muy gran	huego <fuego> [NCMS000]	 donde llegauan las llamas bien hasta las nuues E de alli salio vn gran leon
16	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	155r-b(2)	este linage ha dios otorgado el reyno & el señorio de aquella tierra E el	huego <fuego> [NCMS000]	 grande que veyas & las llamas que yuan contra el cielo sera muy gran poder
17	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	155r-b(8)	todo el poder delos moros por su bondad E el leon que salia de aquel	huego <fuego> [NCMS000]	 que te heria enel escudo & te derribaua creas que sera aquel duque Gudufre que
18	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	169r-a(37)	carga de bestia mular vn marco de oro & vna cabra cient sueldos & vna	hanega <fanega> [NCFS000]	 de trigo treynta sueldos & vn hueuo dos sueldos & vna nuez vn sueldo &
19	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	174r-b(42)	bendixo lo & pregunto que donde veniera tanto abasto de carne como el veya al	huego <fuego·PUNCT> [NCMS000·PUNCT]	 E ellos le dixeron que aquel era el asno de que el hazia azemila E
20	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	179r-b(31)	fendidos de crietas que entrauan hasta el hueso & tantas espinillas quemadas & pintadas del	huego <fuego> [NCMS000]	 & tantos calcañares partidos de muchas partes & tantas desemejadas cataduras de rostros & de
21	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	181v-b(34)	adelante bien con treynta mil turcos & los mas dellos trayan en cuernos de arambre	huego <fuego> [NCMS000]	 grecisco a que llaman en España huego de alquitran & echauan lo sobre los cristianos
22	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	181v-b(35)	los mas dellos trayan en cuernos de arambre huego grecisco a que llaman en España	huego <fuego> [NCMS000]	 de alquitran & echauan lo sobre los cristianos & quemauan les los cauallos & las
23	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	209v-b(15)	de muchas maneras de frutas & de especias & debaxo vn gran arbol hallaron vna	huente <fuente> [NCFS000]	 que no era vsada de beuer en ella hombres ni bestias & alli cerca de
24	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	233r-a(27)	la cibdad de Bellinas folio ciij Capitulo cccxli como los turcos de escalona echaron el	huego <fuego> [NCMS000]	 enel castillo de madera & del milagro que dios mostro porque cayo vn poco del
25	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	245r-a(41)	cobrir los engenios delos cueros delas bestias que morian porque no les hiziesse mal el	huego <fuego·PUNCT> [NCMS000·PUNCT]	 E estos tres ricos hombres que aueys oydo punauan mucho enla parte de setentrion en
26	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	245v-b(5)	armados & tenian grandes maças & porras con cadenas & dardos & otras armas &	huego <fuego> [NCMS000]	 de alquitran & vn cauallero de flandes que dezian gualter subio por la escala fasta
27	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	245v-b(20)	pesar & començo estonces a combatir los mas de rezio & los del muro echaron	huego <fuego> [NCMS000]	 sobrel engenio & encendio se todo & los que estauan dentro salieron se lo mas
28	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253r-a(23)	ygual dela tierra que podian bien llegar los castillos al muro & los turcos echauan	huego <fuego> [NCMS000]	 a menudo & pez hiruiente & piedra sufre & azeyte & toda cosa con que
29	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253r-a(25)	hiruiente & piedra sufre & azeyte & toda cosa con que se pudiesse abrauar el	huego <fuego> [NCMS000]	 & encender se & las piedras que tirauan los engenios de dentro tan grandes golpes
30	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253r-a(30)	vezes matauan algunos delos xpistianos & los que combatian la villa los vnos amatauan el	huego <fuego> [NCMS000]	 que les echauan los turcos & los otros tenian aparejados cueros con que atapauan los
31	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253r-a(39)	engenios muy bien guardados & los dela villa trabajauan se de echar de noche el	huego <fuego> [NCMS000]	 sobrellos que mucho se temian que subirian de noche los xpistianos por escalas al muro
32	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253r-b(40)	fasta que fueron enflaqueciendo & desmayando & quisieron tirar los engenios afuera que fumeauan del	huego <fuego> [NCMS000]	 que les echauan los turcos & esto fue vn dia jueues & dixeron que dexassen
33	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253v-a(26)	estauan sobre el muro & los que combatian tiraron se a fuera & mataron el	huego <fuego> [NCMS000]	 con el poluo dela tierra lo mejor que ellos pudieron pero muchos ouo maltrechos &
34	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253v-b(20)	con que echauan la tierra sobre los sarzos porque no les pudiesse hazer daño el	huego <fuego> [NCMS000]	 ni el agua los que trayan picos cauauan enel muro & los otros que yuan
35	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253v-b(31)	enojo alos turcos & adobaron sus sarzos en tal manera que no temiessen agua ni	huego <fuego> [NCMS000]	 ni saetas E estauan alli debaxo seguros como so vna peña & assi como cauauan
36	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253v-b(45)	turcos aquellos vellacos que estauan ya llegados al muro vinieron de todas partes & traxeron	huego <fuego> [NCMS000]	 grecisco encendido que parecia sangre tanto era bermejo & echaron lo enel carnero & encendiose
37	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	253v-b(48)	sangre tanto era bermejo & echaron lo enel carnero & encendiose todo & llego el	huego <fuego> [NCMS000]	 al engeño & començo a arder Folio XVI muy fuerte mas vino el duque Gudufre
38	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	271r-b(24)	enlas cueuas & quando supo el conde que se metian alli aquellos ladrones mando poner	huego <fuego> [NCMS000]	 alas cueuas & metieron en ellas pajas & leña & fue tan grande el huego
39	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	271r-b(26)	huego alas cueuas & metieron en ellas pajas & leña & fue tan grande el	huego <fuego> [NCMS000]	 que entro dentro que no lo podian sofrir los que estauan dentro & salieron fuera
40	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	278v-b(13)	delos hombres por la voluntad de nuestro señor partiose deste mundo el postrimero dia de	hebrero <febrero> [NCMS000]	 hizo hermosa fin mas muy grande mengua hizo ala tierra de vltramar & finco en
41	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	294v-a(38)	a gran priessa & llegaron al castillo & pusieron lo en pies & pusieron le	huego <fuego> [NCMS000]	 despues que ouieron aparejado su obra & despues que fue quemado lo que estaua abaxo
42	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	299v-a(16)	auian hecho dentro de toda vianda de comer no hallaron enla villa mas de cinco	hanegas <fanega> [NCFP000]	 de trigo porlo qual alabauan mucho alos que estauan dentro porque se mantouieran tan bien
43	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	323r-a(6)	los muros & pusieron los en pies de palo & salieron fuera & pusieron les	huego <fuego·PUNCT> [NCMS000·PUNCT]	 & cayo luego en tierra vna gran parte delos muros de manera que la entrada
44	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	325r-b(48)	aquel trabajo ni esperauan otro acorro sino el suyo que ya eran todos ensuziados del	huego <fuego> [NCMS000]	 & del fumo Libro III E el arçobispo descendio de su cauallo & rogo a
45	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	325v-a(7)	a su pueblo & ouo dellos piedad & luego torno el viento & dio conel	huego <fuego> [NCMS000]	 sobre los turcos tanto & tal que ouieron de dexar el campo & huyr por
46	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	341r-a(19)	castillo muy fuerte & cobrieron lo de zarzos & despues de cuero crudo porque el	huego <fuego> [NCMS000]	 que echassen no lo pudiesse quemar & hizo hazer engenios de muchas maneras para combatir
47	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	341v-b(48)	las cosas que hauian menester ¶ Capitulo cccxlj como los turcos de Escalona echaron el	huego <fuego> [NCMS000]	 enel castillo de madera Folio CIIII & del milagro que dios mostro porque cayo vn
48	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	342r-a(35)	muro & el castillo mucha leña seca & paja & rama & que le pusiessen	huego <fuego·PUNCT> [NCMS000·PUNCT]	 & desta forma arderia el castillo que de otra manera no hauia razon por que
49	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	342r-b(2)	llama del castillo & herir enel muro de manera que toda la noche dio el	huego <fuego> [NCMS000]	 enlos muros E quando vino la mañana cayo del muro vna torre & vna gran
50	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	356r-b(25)	año del su reynado & enel xxiij año de su vida en el mes de	hebrero <febrero> [NCMS000]	 el dia de santa ageda & no dexo heredero ¶ Capitulo ccclxxxiij como fue enterrado
51	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	356v-a(38)	andaua el año dela encarnacion del señor en mil & cliiij años enel mes de	hebrero <febrero> [NCMS000]	 tres dias antes dela fiesta de san pedro a lxiij años despues que la cibdad
52	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	379r-a(9)	dela cibdad supo como no estaua gente enla cibdad & entro dentro & puso le	huego <fuego> [NCMS000]	 & la gente que ay morauan fueron se porque no hauia viandas & porque oyeran
53	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	388v-a(2)	& los que tenian las aldeas que hiziessen pagar alos solariegos vn pesante de cada	huego <fuego·PUNCT> [NCMS000·PUNCT]	 pero los pobres que no pagassen tanto como los ricos sino que pagassen segun ouiessen
54	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	397v-b(39)	bien con cuerdas muy fuertes de cañamo & echaron la dentro & ella estuuo enel	huego <fuego> [NCMS000]	 hasta que fueron quemadas las ataduras & despues salio se fuera que no se quemo
55	VLT	1503-06-21	1503-06-21	Salamanca	Hans Giesser	Madrid: Biblioteca Nacional de España  [R/518 V.1 R/519 V.2]	HSMS-0161-0001	1295	1295	Gran conquista de Ultramar	desconocido	desconocido	457r-a(10)	Plazença heredero de Chipre & de hierusalem & llego a acre el primero dia de	hebrero <febrero> [NCMS000]	 por consejo del maestre del templo & del conde de jafa & despues que el
56	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		13r-a(12)	tan bien si quisiere derrocar la casa aprouar lo si quemar su hazienda yr por	huego <fuego·PUNCT> [NCMS000·PUNCT]	 destruya rompa quiebre dañe de a alcahuetas lo suyo que mi parte me cabra pues
57	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		37v-a(23)	como le dexastes como os podistes entramos escabulir del Parmeno alla fue ala maldicion echando	huego <fuego> [NCMS000]	 desesperado perdido medio loco a missa ala Madalena a rogar a dios que te de
58	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		37v-a(36)	oyen lo qual yo juzgo por otros que he conoçido menos apassionados y metidos eneste	huego <fuego> [NCMS000]	 de amor que a calisto veo que ni comen ni beuen ni rien ni lloran
59	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		42r-a(23)	esso me declara que es que en solo oyr lo me alegro Celestina es vn	huego <fuego> [NCMS000]	 escondido vna agradable llaga vn sabroso veneno vna dulce amargura vna delectable dolencia vn alegre
60	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		44r-a(26)	se llama tuya y esto tiene por titulo de libertad Y con esto amansa el	huego <fuego> [NCMS000]	 que mas que a ti le quema Calisto moços esto yo aqui moços oygo yo
61	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		44v-a(30)	caçar padres y hijos en vna nidada y tu estar te as rascando a tu	huego <fuego> [NCMS000]	 diziendo a saluo esta el que repica Calisto callad locos vellacos sospechosos parece que days
62	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		47r-a(32)	voluntad lo podiera cosa estoruar O molestas y enojosas puertas ruego a dios que tal	huego <fuego> [NCMS000]	 os abrase como a mi da guerra que conla tercia parte seriades en vn punto
63	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		53r-a(20)	hazer tal cosa de ninguno que hombre sea mayormente amando como yo nadando por este	huego <fuego> [NCMS000]	 de tu desseo toda mi vida No quieras que me arrime al dulce puerto a
64	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		55r-a(19)	aparesceos ante dela continua orden O spacioso relox aun te vea yo arder en biuo	huego <fuego> [NCMS000]	 de amor que si tu esperasses lo que yo quando des doze jamas estarias arrendado
65	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		55r-a(32)	se rige con vn freno ygual todo se mueue con ygual spuela cielo tierra mar	huego <fuego> [NCMS000]	 viento calor frio Que me aprouecha a mi que de doze horas el relox de
66	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		58v-a(37)	de amor que siendo casada corrumpio la prometida fe marital Y aun otras de mayores	huegos <fuego> [NCMP000]	 encendidas cometieron nefarios y incestuosos yerros como Mira con su padre Semiramis con su hijo
67	C10	1507	1507	Zaragoza	Jorge Coci	Madrid: Real Academia de la Historia  [2-7-2/3566]	HSMS-0188-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		68v-a(29)	hijos la vengança delos padres ni se si hieres con hierro ni si quemas con	huego <fuego·PUNCT> [NCMS000·PUNCT]	 sana dexas la ropa lastimas el coraçon Hazes que feo amen y hermoso les paresca
